size,signal_type,iteration,vector_size,vFFT_mean_err,vFFT_max_err,vFFT_std_err,nFFT_mean_err,nFFT_max_err,nFFT_std_err,vIFFT_mean_err,vIFFT_max_err,vIFFT_std_err,nIFFT_mean_err,nIFFT_max_err,nIFFT_std_err,vFFT_mean_norm_err,nFFT_mean_norm_err,vIFFT_mean_norm_err,nIFFT_mean_norm_err
64,impulse,3,128,0.0007516573,0.0021836602,0.00054348266,0.0007605391,0.0024414062,0.00048290848,9.21824e-05,0.00019836426,4.5461915e-05,9.545136e-05,0.00030517578,6.319612e-05,1.58902e-07,1.5750744e-07,1.3339763e-07,1.4456766e-07
64,impulse,4,128,0.0009392859,0.0028471444,0.0006586946,0.0008987958,0.0030881618,0.00066029973,0.0001035187,0.00027295752,6.156994e-05,9.7656244e-05,0.00025895023,6.314508e-05,1.8169959e-07,1.7228001e-07,1.9041818e-07,1.9138731e-07
64,step,0,128,0.00084497634,0.0031265256,0.0006324497,0.000821724,0.0027621358,0.00058432744,9.584982e-05,0.00025895023,5.492294e-05,0.00011193865,0.00027295752,5.5366196e-05,1.7144708e-07,1.664209e-07,1.695038e-07,1.862825e-07
64,step,1,128,0.0008971967,0.002629475,0.00063023006,0.0008708687,0.002629475,0.0005801044,9.6361895e-05,0.00024414062,5.4001976e-05,9.254662e-05,0.00028011412,5.5788623e-05,2.1130985e-07,1.9364752e-07,2.2822822e-07,2.2079439e-07
64,step,2,128,0.0008776909,0.0035547412,0.00072148076,0.0009142626,0.0043673203,0.00079577684,9.8457574e-05,0.00027634844,6.210573e-05,0.00011022278,0.00027295752,5.4106014e-05,1.549607e-07,1.6065457e-07,1.4869786e-07,1.7361573e-07
64,step,3,128,0.00086966704,0.0027621358,0.0005234071,0.00085293036,0.0035210461,0.0006141516,0.00010659707,0.0002516544,5.8003483e-05,0.000115636256,0.0002607423,6.197778e-05,2.553807e-07,1.9202346e-07,1.6267536e-07,1.71961e-07
64,step,4,128,0.00072020385,0.0020716018,0.00042464785,0.0006836477,0.0020716018,0.0003883605,9.02356e-05,0.00025895023,5.2944277e-05,8.5164735e-05,0.00022217132,4.7153633e-05,2.0986815e-07,1.7789824e-07,1.4208914e-07,1.3214117e-07
64,chirp,0,128,0.0008739352,0.002629475,0.0006378883,0.0008938501,0.0030881618,0.0006229444,9.9261844e-05,0.00024604058,5.2973075e-05,9.444923e-05,0.00027295752,6.174107e-05,2.2114224e-07,2.329767e-07,1.95457e-07,1.6263611e-07
64,chirp,1,128,0.0008256566,0.0022508653,0.00048928446,0.00084884476,0.002293493,0.00055031036,9.7096934e-05,0.00025895023,5.252231e-05,9.2392766e-05,0.0002516544,5.483795e-05,1.6782684e-07,1.6645771e-07,1.5417979e-07,1.4306553e-07
64,chirp,2,128,0.0008102793,0.0020751953,0.0005109211,0.00081654114,0.0024414062,0.0005143269,9.195325e-05,0.0002115696,5.4673237e-05,8.707831e-05,0.00024414062,5.1017523e-05,1.8191203e-07,1.7878486e-07,1.7025299e-07,1.5209795e-07
64,chirp,3,128,0.0008905213,0.0021836602,0.00048936,0.0008970407,0.0026855469,0.0005137597,9.523974e-05,0.00027295752,5.667981e-05,9.5530806e-05,0.00024604058,4.8536687e-05,1.8405689e-07,1.844424e-07,1.3028605e-07,1.4628745e-07
64,chirp,4,128,0.0007077988,0.0019683247,0.00045349303,0.0007518929,0.0024045063,0.00049055996,8.233838e-05,0.00019540785,4.805738e-05,9.509793e-05,0.00021592669,4.588523e-05,1.654823e-07,1.8465514e-07,1.6619441e-07,1.9840871e-07
128,random,0,128,0.0015704889,0.0069219256,0.0012342395,0.0015581509,0.007041316,0.0012471142,0.000111053145,0.00032868437,6.9323316e-05,0.00010834301,0.00031121945,6.2343985e-05,2.0816265e-07,2.0600108e-07,2.0757437e-07,1.9576555e-07
128,random,1,128,0.0013202063,0.0050271633,0.0008799464,0.0013101923,0.0039366493,0.0008853563,0.00010463933,0.0003005633,5.847373e-05,0.00010834324,0.00030517578,6.5427506e-05,2.0225619e-07,1.9603587e-07,1.8323519e-07,1.933354e-07
128,random,2,128,0.0013446833,0.0048828125,0.0008478473,0.0013274355,0.0053710938,0.0008920811,0.00010650167,0.00031121945,6.0149403e-05,9.563339e-05,0.00030669788,5.8537826e-05,2.204001e-07,2.0598414e-07,1.8146764e-07,1.5381013e-07
128,random,3,128,0.0014020525,0.0038135983,0.00077837036,0.0013193968,0.0035210461,0.00069674803,0.00010772349,0.00034526698,6.3255e-05,0.00010784481,0.00034526698,6.2920284e-05,1.9513558e-07,1.9336636e-07,1.726197e-07,1.614248e-07
128,random,4,128,0.0012533194,0.0048828125,0.000782558,0.0012158516,0.006253051,0.00079270615,0.00010042666,0.00024013096,5.562491e-05,9.9563316e-05,0.00027295752,5.474757e-05,2.0925121e-07,2.1318345e-07,1.6376808e-07,1.6421545e-07
128,sine,0,128,0.0013745988,0.0048828125,0.00091091293,0.0013646352,0.00525895,0.0008432583,9.967922e-05,0.0002516544,5.6128258e-05,0.00010256321,0.0002516544,5.163946e-05,2.438703e-07,2.556353e-07,1.4639241e-07,1.5746211e-07
128,sine,1,128,0.0013739393,0.0035547412,0.00078936946,0.0013686788,0.0039366493,0.00085059926,0.000107315194,0.00030517578,6.251402e-05,0.00011140964,0.00032614128,6.5187116e-05,1.96212e-07,1.9657554e-07,1.7091807e-07,1.7657662e-07
